Mcm6 N206 0.3299885553187733
MED7 N94 0.090480041997635763
Nc73EF N31 0.089087994298753026
Nopp140 N140 0.04071972179812057
Nup98-96 N91 0.039107791872514022
MBD-R2 N181 0.036330530054155867
Pten N160 0.031418527427407583
Hsp83 N62 0.031365891950936524
Nup160 N37 0.027793115070609033
RpL14 N4 0.024816346775166431
Pdk1 N99 0.02418785925201913
RpL7A N186 0.024083189140782762
Parp N230 0.023355499154660151
Ref1 N129 0.022507905498002453
RpL18A N30 0.022040096235609392
RpS11 N20 0.021438055015627355
Hrb87F N35 0.020104380472166037
Rm62 N222 0.019120444344010109
Dsor1 N63 0.018243700031099992
Hrb27C N48 0.017637232502128779
RpS13 N149 0.017360355224751732
Hlc N66 0.015445853192726514
RpS6 N210 0.015405359554545797
Droj2 N47 0.014151662940738489
Syp N92 0.013821638477263162
Rrp6 N86 0.012839604542538309
RpS9 N102 0.012790712475742325
S6k N44 0.011896395615184172
eIF3-S10 N145 0.011142297762998046
T-cp1 N124 0.010971326865196123
Ef1alpha48D N67 0.010194494406206858
SmD2 N77 0.0099139893346166814
Tcp-1eta N256 0.0096543193368523982
beta'COP N52 0.0096400138862686828
CG4849 N143 0.0090626326109199042
Tsc1 N88 0.0088943962793121226
DNApol-alpha73 N8 0.0076184187910382905
CG3689 N83 0.006958473513467134
Arf102F N117 0.0066750011232398652
l(3)72Ab N148 0.0061193688811942096
AGO2 N57 0.0060291369592971929
lkb1 N105 0.0057934300143608636
CG13900 N73 0.0032156245465846103
CG7911 N89 0.0032156245465844854
pic N82 0.002609385442186269
